,region,proj_x,proj_y,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
173,16,-1250515.7251026938,2243799.6398519184,10.723039215686276,97.2,0.9,4.3,18.9,54167,20.6,12.766666666666667,0.4051,6.3,1.7436286077833754,1.538461538461544,75.94501718213058,3.1,5.7
174,16,-1318984.655734006,2361001.3967182734,21.23693290076729,100.0,0.3,18.0,21.2,55472,13.7,14.389493662601714,0.4048,9.7,3.0726616084875187,2.885577115423077,65.928123969667,4.9,10.5
175,16,-1504870.556907702,2423756.459218375,22.713414634146343,90.2,0.0,1.6,16.3,39688,18.8,10.209923664122137,0.5179,4.9,-0.0291214784655497,12.997347480106106,98.82044560943643,2.1,12.1
176,16,-1498689.182992516,2787170.3445859863,20.2540415704388,125.7,0.5,4.2,17.9,43915,26.7,11.78369652945924,0.4242,11.0,1.2487892854138662,2.0140303236026225,61.35795612329908,2.1,11.7
177,16,-1300547.3340431296,2426168.374982686,12.07122093023256,103.7,0.0,10.5,24.7,63048,11.0,14.263685427910564,0.3712,8.6,3.2502836746203068,2.9139913920835485,78.43820908738724,3.8,8.9
178,41,-2118811.568066929,2628833.395368556,62.58255628731917,97.0,1.1,8.9,30.5,52426,18.8,19.63572079070017,0.4665,10.1,4.391890730904771,3.3974794490962967,76.01095774223997,5.8,7.0
179,51,1670124.4028964443,1731436.6080355218,54.20624151967436,93.6,44.4,0.6,20.6,57962,21.7,12.785528131227965,0.401,15.3,3.1390257557425048,1.0959516886602516,83.36751818012307,1.1,11.8
180,51,1533134.6671105926,1933151.7913192208,43.02019315188762,103.1,5.4,5.6,32.2,80026,20.7,11.918463565139014,0.4549,5.4,4.395200907212164,2.4097675913034133,83.07678619094226,3.5,12.7
181,51,1552611.966917633,1659453.1821677575,42.33617524425913,94.0,35.4,3.0,20.2,43207,25.1,12.373079927102316,0.4686,8.4,3.811175865179753,0.8514839266983376,65.97061098221191,2.4,10.2
182,51,1456063.8100498542,1810833.9172384704,26.086537998748607,104.0,4.3,2.8,22.7,62711,20.5,13.348606134871268,0.41,13.8,4.34901570585254,1.7124745730639934,70.81148982497278,2.6,7.9
183,51,1569353.695571534,1781448.3251691698,40.14773887454207,98.5,16.0,2.8,41.8,93994,21.6,12.040236168816971,0.4975,6.0,4.371224702658029,1.7756016989145862,91.6126242974492,4.1,4.9
184,51,1523823.51359277,1851679.201560148,33.733433358339575,94.6,8.3,2.9,23.4,57895,21.6,11.586940015186029,0.4324,10.8,3.710440125157679,1.659904094430087,79.21496055322879,3.0,10.4
185,51,1393049.3611202242,1697986.104610157,38.88244841177835,92.6,5.9,3.1,35.6,68948,21.1,13.317630005435769,0.4265,8.3,5.922976943057389,2.0218082689686496,78.56074022212155,5.7,5.4
186,51,1594644.2326911895,1677037.5441212684,57.55468453660386,115.2,54.5,2.2,13.6,44434,20.9,16.39830508474576,0.423,8.5,3.368156819855137,0.4906894816306018,58.60492552720837,1.7,7.9
187,51,1752689.963760256,1775435.961333434,55.376019329507706,92.7,33.3,8.8,22.6,47227,26.0,11.703828355069414,0.4639,7.7,3.5288995163644183,1.6339869281045694,72.84137632547068,5.5,10.9
188,51,1436104.7166700384,1767433.5804993012,33.56333169048792,99.0,3.3,1.9,26.7,54600,25.5,11.936198493575542,0.452,12.3,3.6270954589978457,1.6401389674396083,67.25168441643122,2.3,8.4
189,51,1176322.135922562,1626116.2034638836,29.497774952320405,87.4,3.1,1.2,22.8,29000,16.4,14.86146095717884,0.509,9.5,6.249462524309462,1.7489069331667717,53.509358288770045,3.7,11.0
190,51,1623888.1310053892,1739965.972443878,33.09945428221405,86.0,15.3,5.9,25.5,54550,20.4,14.48244204728024,0.4236,8.2,7.712494202029621,1.9759825327510967,70.0038211692778,7.3,7.5
191,51,1303211.8493620562,1667926.2356462264,15.487627365356625,126.2,3.8,1.3,14.2,48531,22.5,12.914840325610518,0.4122,21.5,2.879957458376168,1.2647312446105174,65.11323226651695,0.3,7.5
192,51,1409649.3081235725,1733520.8989681564,27.40516370979374,96.4,3.0,1.7,28.3,71110,21.9,11.789581021503766,0.4114,12.0,4.110441233098969,1.5338730293992242,79.45159106296546,2.3,4.1
193,51,1222073.2894442156,1597134.127891624,30.19582245430809,88.9,5.7,2.3,25.4,37500,20.4,13.599810785241248,0.4741,11.4,7.153697745119982,1.9708216022523704,58.96023541839583,1.1,10.2
194,51,1682995.2664852792,1752435.5487923592,70.93143787946099,86.6,15.0,7.1,56.8,57463,15.7,45.6220271990353,0.5088,2.7,7.492606098133799,1.9883889695210435,54.145383104125735,6.9,5.9
195,51,1344909.5639884318,1628941.9530798795,18.334301012837887,101.4,0.7,3.5,15.0,44835,23.8,12.016375289419818,0.4559,16.5,4.134131105302142,0.9963594558344392,65.59554233524656,2.0,10.6
196,6,-2277693.4380474715,1954457.0672142084,87.01783129646803,104.1,5.2,15.2,58.1,112449,15.4,18.88038438284677,0.5099,5.2,9.804606857682456,2.024560762749883,67.98278486134548,34.3,3.7
197,6,-2165233.7457615533,2003542.821517428,62.95341560353778,95.6,9.8,23.2,30.9,67151,13.7,16.746875969546483,0.4538,5.5,7.332989323047186,2.5370246645509686,68.95982430813649,20.9,5.5
198,6,-2087302.472881956,2020991.715417759,45.49749248627257,99.2,0.8,12.8,34.3,83377,20.5,12.18372639383124,0.4556,7.0,4.659473635089778,2.324400175621344,80.74391252667506,9.2,4.6
199,6,-2221823.407876328,1759768.0764432442,71.1086289094676,104.0,2.6,58.7,24.7,71015,13.2,17.35654461133799,0.457,5.1,4.873605543781198,2.2394660907865296,70.69546991443555,29.8,9.8
200,6,-1909582.335710687,1316236.0440041595,61.64906208299889,101.4,5.0,33.7,38.8,78980,13.7,19.05573248839817,0.4627,9.2,6.658261540832321,2.3343109822281773,70.70981551769793,23.4,7.8
201,6,-2011660.159761395,1705838.1246509063,46.007210266974745,100.0,1.6,64.6,14.6,49687,11.2,17.54976206868183,0.4728,8.0,4.559110285659848,2.1792558804506923,57.170602979869535,21.8,8.1
202,6,-2302684.566949852,2305247.446348417,67.28185397817789,98.8,1.1,11.6,30.4,48041,17.3,19.83889951449169,0.4841,4.4,3.627953400646221,3.3481980738782453,64.74770750058782,5.3,8.2
