,region,lon,lat,Y,X1,X2,X3,X4,X5,X6,X7,X8
1736,KS,-94.8462023880387,37.1693093631989,11.1,11.0,75.2,58.3,17.9,18.8,27.6,37.0,21.7
1737,GA,-83.9566698417537,33.2871632593122,10.4,17.3,74.4,53.7,16.8,18.9,29.1,39.5,32.2
1738,TX,-97.2019674339833,31.5524344159356,10.4,17.8,71.8,50.5,17.8,18.4,28.2,40.1,28.4
1740,IA,-93.7343499073562,43.0818360710642,10.1,8.4,74.3,65.7,23.7,17.5,25.4,34.1,23.2
1743,TX,-97.4786872418696,31.0373016000356,10.2,20.9,76.3,56.0,16.9,15.7,28.2,42.6,28.0
1745,MS,-90.8805163159369,33.7970211269525,10.9,14.9,81.3,8.1,13.0,16.9,32.1,38.0,35.3
1746,MI,-82.9322750277033,42.695884588644,11.7,7.6,76.1,65.3,19.6,19.1,26.2,39.0,25.0
1747,TN,-89.6304821816215,35.7604312317412,12.5,16.7,75.8,46.5,14.2,26.5,35.2,46.6,32.5
1748,CA,-115.994764890688,33.7437710409515,10.0,11.6,69.4,64.1,19.6,11.5,23.9,38.5,30.7
1749,OK,-96.3708202661878,35.9025321078939,12.2,11.8,72.3,56.7,14.9,18.4,28.0,40.3,26.6
1750,TX,-100.982444582177,31.3037547121267,9.8,16.4,71.0,57.4,21.1,15.2,24.5,37.7,26.1
1751,OH,-82.6182154386703,39.019742017525,11.9,7.9,76.9,57.1,18.9,21.9,30.2,41.4,24.8
1755,TX,-94.3903008121977,30.3323844074931,10.2,17.9,72.7,55.9,19.8,18.0,25.6,40.4,26.2
1757,NC,-81.1272787621881,36.4916227409052,10.6,15.1,74.4,55.4,18.2,19.6,27.2,35.1,22.6
1758,TN,-86.3576866745912,35.2848060919362,11.3,11.6,74.8,57.6,16.6,19.1,27.3,38.8,28.2
1759,WA,-117.855286410546,48.3988656943295,11.8,9.2,67.2,61.3,20.1,14.7,17.9,32.1,27.5
1760,IN,-87.3534829538668,40.346975973543,11.0,8.1,75.6,60.4,18.4,20.5,26.4,40.3,23.6
1761,WV,-80.8583805903992,37.6558327507211,13.1,9.7,79.1,50.7,15.7,23.3,32.3,43.4,27.3
1762,TX,-95.423014721368,31.3177915208724,10.3,28.3,73.1,48.2,17.7,19.9,30.7,41.9,31.1
1765,MO,-90.9691331019274,37.3624352764614,11.6,11.9,72.0,49.9,20.0,26.3,30.8,41.1,25.9
1766,NM,-108.382402993198,32.7387900017059,10.7,15.1,65.5,56.1,16.1,17.9,27.1,33.9,24.6
1767,KY,-87.8682999178812,37.1454911977858,11.3,7.8,76.9,56.3,14.7,20.7,26.9,40.8,23.4
1768,GA,-84.3578579480575,33.5414016249358,11.4,20.4,77.4,48.6,12.1,17.9,34.3,45.1,42.9
1769,TX,-95.3822087220849,32.7867167347459,10.0,16.4,71.4,54.6,19.7,17.3,25.4,36.9,27.9
1770,AK,-130.936350933263,55.586579401666,10.5,9.6,65.1,60.3,21.8,15.3,20.7,38.8,24.9
1771,MO,-93.5654242351413,40.1140355084448,11.2,10.9,73.7,55.0,20.1,22.2,27.8,38.7,22.1
1773,KY,-87.5408326527605,37.3081444900735,11.6,7.7,77.2,53.7,15.0,21.8,29.4,44.6,22.3
1774,IN,-85.0057727309693,40.4379561738952,11.6,12.6,75.3,54.4,17.3,23.3,33.4,39.7,26.5
1775,MN,-95.004346848332,45.1525013976106,10.3,9.1,68.6,66.5,22.8,14.4,21.4,32.3,22.7
1776,OH,-82.0228709814014,39.082287647052,12.1,12.3,76.1,53.3,19.3,25.1,31.1,41.6,24.1
1779,MO,-93.1116698405208,40.2106825508381,10.9,17.8,73.0,51.4,18.8,23.1,31.5,41.1,25.4
1780,KS,-97.087472668315,39.7841812438659,10.4,9.3,73.8,63.7,19.4,17.2,23.8,35.9,20.9
1781,KY,-86.1908533047186,36.7508119663263,11.3,7.1,76.0,55.2,15.0,20.7,28.6,39.5,23.6
1783,NC,-77.6516450517141,36.257829844498,11.4,15.6,78.2,51.9,14.8,20.0,29.8,39.6,30.0
1784,WA,-118.560587784171,46.9835433918881,11.6,22.1,65.0,52.9,15.4,14.3,26.8,29.8,29.5
1786,MO,-93.2881839487077,38.2948386228641,11.2,11.6,73.9,54.1,19.7,22.5,28.3,38.7,23.5
1787,MT,-111.495701602811,46.3326963010293,10.9,7.9,68.1,59.5,23.2,17.1,22.1,31.3,22.3
1789,CA,-122.001404413399,37.0558255524564,10.2,8.6,68.2,64.3,22.0,11.5,20.6,33.7,27.3
1790,WI,-91.1445791569221,45.8800079322517,11.6,7.8,72.4,61.5,23.0,19.7,22.8,36.4,25.0
1791,MO,-93.1068666682124,39.870469692524,11.2,11.5,73.4,52.5,19.1,23.4,29.9,39.8,24.2
1793,GA,-81.539531176268,31.2308510168338,10.4,12.8,75.8,60.9,16.6,13.9,24.4,40.5,29.5
1794,AK,-146.565627734256,64.8075316814407,9.9,9.6,65.7,63.2,21.0,13.9,20.3,36.8,24.4
1795,ID,-111.562180546814,42.7704958174665,10.5,10.6,70.0,66.6,17.5,13.1,22.6,33.4,22.8
1796,AL,-85.8257674379293,33.7714931264898,10.3,10.5,77.8,55.8,15.7,18.0,28.5,42.8,24.7
1797,NE,-96.2370098185336,40.1313900367221,10.1,9.1,70.9,59.3,20.1,17.1,28.0,33.2,23.1
1798,TX,-95.996210580884,31.2960691396315,10.5,20.8,70.7,48.9,19.2,20.9,30.3,38.9,30.0
1801,OH,-83.1440024541005,41.3573025435739,11.1,8.6,74.8,59.1,20.6,21.0,28.5,41.3,22.9
1803,NH,-71.716084725208,42.9152741767087,11.4,8.5,73.6,69.5,18.4,10.3,17.6,34.4,26.1
1805,IN,-85.4384424424472,38.785587057779,12.0,7.8,75.8,57.8,16.8,20.1,28.6,35.5,25.5
1806,DE,-75.5682629704417,39.0863622587062,12.0,10.0,76.8,61.9,16.2,15.2,25.1,40.9,26.2
1808,GA,-82.0744462571572,33.3599418331668,11.7,18.4,78.4,51.5,14.2,18.5,30.2,43.4,32.3
1809,IA,-92.4094863136049,41.0305745817301,10.3,9.2,75.5,58.4,20.7,20.9,31.4,38.4,24.4
1810,AL,-87.3108851040374,34.5216735395968,11.2,12.2,76.4,52.1,16.7,20.5,30.1,39.9,26.8
