algorithm,pattern,n_runs,ssr_mean,randi_mean,nmi_mean,mae_mean,time_mean
2kmodels (initial),Rectangular,50,77.34764734888326,0.9255434871794873,0.8129799747992861,0.25593585915278827,2.443750247955322
2kmodels (initial),Voronoi,50,76.32701698916262,0.9430454358974358,0.8373662156671009,0.19821742333209855,2.5522602891921995
2kmodels (initial),Arbitrary,50,89.40690919101809,0.9179757948717948,0.7815421671487717,0.2645118451769885,2.42620502948761
OpenEvolve_NoGeoKnow,Rectangular,50,88.25522221200924,0.9430196923076923,0.8352243623362315,0.22112583555243046,1.445674514770508
OpenEvolve_NoGeoKnow,Voronoi,50,87.23635414896867,0.9463850256410257,0.8369083242837116,0.1948063735381484,1.3151457834243774
OpenEvolve_NoGeoKnow,Arbitrary,50,115.85753227469102,0.906905641025641,0.7581241298447129,0.3065506020420477,1.2415239667892457
OpenEvolve_SimpleGeoKnow,Rectangular,50,67.7690288114547,0.9392855384615383,0.8389254224259184,0.2167443345499995,2.950523142814636
OpenEvolve_SimpleGeoKnow,Voronoi,50,65.7840482793382,0.9545871794871794,0.8638504901198722,0.16347374848441668,3.0763204526901244
OpenEvolve_SimpleGeoKnow,Arbitrary,50,79.71611365737971,0.922616717948718,0.7917658928490706,0.2565100313605713,2.90847852230072
OpenEvolve_SpecificGeoKnow,Rectangular,50,76.89067710916339,0.9329673846153845,0.8267160784879813,0.24343122332577058,2.4247951030731203
OpenEvolve_SpecificGeoKnow,Voronoi,50,72.83440177631253,0.9492072820512821,0.8511885879139959,0.18328901911068513,2.436130266189575
OpenEvolve_SpecificGeoKnow,Arbitrary,50,85.87273224641771,0.9213413333333333,0.7876631960744244,0.25214295641767037,2.3394135236740112
GeoEvolve_NoRAG,Rectangular,50,73.34069149089005,0.9329591794871797,0.8253599697839036,0.23973149807397295,2.8363317966461183
GeoEvolve_NoRAG,Voronoi,50,71.30245456338096,0.9521896410256412,0.8557329692374842,0.17240394860722547,2.888906383514404
GeoEvolve_NoRAG,Arbitrary,50,91.83101192676078,0.9108184615384615,0.7688591754480392,0.2831620745210745,3.0973980236053467
GeoEvolve_StaticRAG,Rectangular,50,57.54784816445743,0.9666471794871794,0.928677862625163,0.13398643546704248,19.298080139160156
GeoEvolve_StaticRAG,Voronoi,50,56.95376629510221,0.9748353846153848,0.926035318381013,0.10879609932201842,18.948047609329222
GeoEvolve_StaticRAG,Arbitrary,50,62.96986645919364,0.9471033846153847,0.8634210583104734,0.17672392069904075,20.022148613929748
GeoEvolve_DynamicRAG,Rectangular,50,76.76475439290557,0.9506401025641025,0.8466608286623055,0.18837467557293386,18.417510209083556
GeoEvolve_DynamicRAG,Voronoi,50,86.55741719506064,0.9460979487179487,0.8324975750401263,0.1887030411525646,18.845981273651123
GeoEvolve_DynamicRAG,Arbitrary,50,106.92131944365892,0.9264634871794871,0.7774987142958184,0.2510262058623215,18.94467505455017
