algorithm,pattern,dataset_id,ssr,randi,nmi,mae,time
2kmodels (initial),Rectangular,0,63.00112274988711,0.9121897435897436,0.8109699836476297,0.25815964406432895,1.6960065364837646
2kmodels (initial),Voronoi,50,62.480411786122716,0.9496102564102564,0.8658368090635603,0.17162953637394734,2.466876745223999
2kmodels (initial),Arbitrary,100,82.208269487949,0.9594410256410256,0.8325082457687534,0.22359126476093744,1.080672264099121
OpenEvolve_NoGeoKnow,Rectangular,0,73.81850037347222,0.9694102564102565,0.8950048257287725,0.1272258634995747,4.212026834487915
OpenEvolve_NoGeoKnow,Voronoi,50,62.39589362459052,0.9546102564102564,0.8543563743806126,0.1557215390693933,1.1625556945800781
OpenEvolve_NoGeoKnow,Arbitrary,100,126.59859893595898,0.9529179487179488,0.8164866097873628,0.23600887042669025,1.1220407485961914
OpenEvolve_SimpleGeoKnow,Rectangular,0,55.50556070585081,0.9588461538461538,0.8824389730846021,0.1185402116022452,2.051584482192993
OpenEvolve_SimpleGeoKnow,Voronoi,50,57.108708957573306,0.956774358974359,0.8654983811353428,0.15264737196575398,3.059863328933716
OpenEvolve_SimpleGeoKnow,Arbitrary,100,72.7400403758345,0.9710153846153846,0.8627213777266437,0.21928893965805327,1.8654751777648926
OpenEvolve_SpecificGeoKnow,Rectangular,0,79.49962198431278,0.9510102564102564,0.8648728594877453,0.16492904505654307,1.7679688930511475
OpenEvolve_SpecificGeoKnow,Voronoi,50,55.88911890818842,0.9635128205128205,0.8867284833580296,0.1329163510352254,3.075659990310669
OpenEvolve_SpecificGeoKnow,Arbitrary,100,76.30010529113427,0.9607435897435898,0.8368623247686722,0.26155744153555266,1.2692458629608154
GeoEvolve_NoRAG,Rectangular,0,101.42778081448839,0.9140615384615385,0.8301059750577617,0.2915913092860977,1.957815408706665
GeoEvolve_NoRAG,Voronoi,50,65.9109892788288,0.9688820512820513,0.8877514944750899,0.17509775064378083,3.9228367805480957
GeoEvolve_NoRAG,Arbitrary,100,90.2420441951918,0.9532153846153846,0.8465093581727993,0.31643218538048923,1.305675745010376
GeoEvolve_StaticRAG,Rectangular,0,55.614840156870336,0.9962,0.984011696017906,0.056750379029921465,14.522135734558105
GeoEvolve_StaticRAG,Voronoi,50,50.06704829009345,0.9941846153846153,0.9766473956716476,0.06352317725695698,21.70667862892151
GeoEvolve_StaticRAG,Arbitrary,100,61.21239802407606,0.987,0.9372209467461049,0.1523277673288817,15.342743396759033
GeoEvolve_DynamicRAG,Rectangular,0,56.621956902704945,0.9502871794871794,0.8706980511277408,0.15351774294647524,16.053096532821655
GeoEvolve_DynamicRAG,Voronoi,50,59.773433758880735,0.9519846153846154,0.8520575859731311,0.17974252196891619,19.083634614944458
GeoEvolve_DynamicRAG,Arbitrary,100,101.04755479944073,0.958374358974359,0.837263011009622,0.20541564958612812,15.457483530044556
2kmodels (initial),Rectangular,1,69.21781422887383,0.8921230769230769,0.7600970723515508,0.2962100559555356,2.34904408454895
2kmodels (initial),Rectangular,2,112.06842574571239,0.952225641025641,0.8448601986007219,0.17610776200341402,3.5865583419799805
2kmodels (initial),Rectangular,3,64.87430685971191,0.9413128205128205,0.844532953138856,0.17781423064780782,1.8539094924926758
2kmodels (initial),Rectangular,4,66.01774910024525,0.8285897435897436,0.6213441892589251,0.3819209336301323,3.670602560043335
2kmodels (initial),Rectangular,5,79.25367104164052,0.9342717948717949,0.7985924552476741,0.21716014139130915,3.4499809741973877
2kmodels (initial),Rectangular,6,106.59179442466666,0.8457794871794871,0.672945417356258,0.5116797800036272,2.9521102905273438
2kmodels (initial),Rectangular,7,94.40477406393971,0.960025641025641,0.8710879578897239,0.18972821367718104,2.4116737842559814
2kmodels (initial),Rectangular,8,81.61535429809543,0.9202358974358974,0.7964661328050221,0.3393723231991869,2.979736089706421
2kmodels (initial),Rectangular,9,118.15634257445832,0.8659179487179487,0.7108948778661457,0.51224590347605,2.931209087371826
2kmodels (initial),Rectangular,10,67.84277109617447,0.8664102564102564,0.7487292490111426,0.36240793768477214,3.9538564682006836
2kmodels (initial),Rectangular,11,65.04018478897318,0.9286051282051282,0.7930794168307022,0.3395667032386722,3.9526429176330566
2kmodels (initial),Rectangular,12,67.60645314875497,0.9418666666666666,0.8124083059917201,0.23520236462973462,1.801063060760498
2kmodels (initial),Rectangular,13,68.04357498365464,0.9684205128205128,0.8990020114027826,0.12718172777946257,1.7848405838012695
2kmodels (initial),Rectangular,14,93.63361766019551,0.9111641025641025,0.7601129494876048,0.21709935480317163,1.1342270374298096
2kmodels (initial),Rectangular,15,59.13414261252285,0.9702666666666667,0.8902413142073569,0.11121156835565264,1.8973801136016846
2kmodels (initial),Rectangular,16,75.63866739968645,0.8973794871794872,0.734209125512237,0.3411539609168554,4.072099208831787
2kmodels (initial),Rectangular,17,65.3331522083075,0.978051282051282,0.9251695481866756,0.07529150573323605,1.7125308513641357
2kmodels (initial),Rectangular,18,65.00722125721971,0.9349692307692308,0.8123735808146902,0.2654564222176544,2.8608155250549316
2kmodels (initial),Rectangular,19,64.35126437034387,0.909297435897436,0.8150714968618409,0.2835150902722184,2.978821277618408
2kmodels (initial),Rectangular,20,57.38742113176894,0.960276923076923,0.880534145318337,0.17199439281806525,1.1443614959716797
2kmodels (initial),Rectangular,21,64.31863213955074,0.946076923076923,0.8523937937283734,0.15580532613901543,2.409810781478882
2kmodels (initial),Rectangular,22,103.79903689765788,0.9537846153846153,0.8568752248399806,0.20221896875838205,2.984982967376709
2kmodels (initial),Rectangular,23,62.82766779160097,0.9610153846153846,0.8743009737313525,0.19108639203403213,2.3911569118499756
2kmodels (initial),Rectangular,24,57.333790528891555,0.9006820512820513,0.7532054309239647,0.2823750228483653,2.2873268127441406
2kmodels (initial),Rectangular,25,54.87982659802198,0.9689025641025641,0.8991787157204699,0.09040540063345374,1.2519869804382324
2kmodels (initial),Rectangular,26,61.416463382150745,0.9731128205128206,0.9053372897911639,0.11190952649293559,2.2447807788848877
2kmodels (initial),Rectangular,27,66.7485235904719,0.9753692307692308,0.9155598320985827,0.10136386413518512,1.6788783073425293
2kmodels (initial),Rectangular,28,65.49754712660904,0.975276923076923,0.9133253536093439,0.131630839030584,1.5170226097106934
2kmodels (initial),Rectangular,29,84.14712068015817,0.8238153846153846,0.6722377677477714,0.4787014287576577,3.3383285999298096
2kmodels (initial),Rectangular,30,59.96018841059873,0.8794153846153846,0.6983015520439916,0.35807585447299856,2.80273175239563
2kmodels (initial),Rectangular,31,75.46166623899033,0.9218205128205128,0.7870574136292867,0.24820421355711278,2.1899166107177734
2kmodels (initial),Rectangular,32,61.49035916243382,0.9564974358974359,0.8500220353196668,0.21572132679439757,2.275712490081787
2kmodels (initial),Rectangular,33,116.6358345408312,0.8963435897435897,0.7959034593368437,0.3979212126654588,1.2465848922729492
2kmodels (initial),Rectangular,34,63.8542356568572,0.9297692307692308,0.7954352273995156,0.18705373250769264,3.372138023376465
2kmodels (initial),Rectangular,35,53.75189256172409,0.927025641025641,0.8162534863461396,0.21075580240561545,1.9783759117126465
2kmodels (initial),Rectangular,36,104.15646849834603,0.8531589743589744,0.7200629889923325,0.3592432316689989,1.787494421005249
2kmodels (initial),Rectangular,37,66.47644125924046,0.9221179487179487,0.7838805951739201,0.27034826201781714,2.4776666164398193
2kmodels (initial),Rectangular,38,79.8006267761543,0.9604153846153847,0.8700824803492098,0.21101617991587318,4.94674825668335
2kmodels (initial),Rectangular,39,62.81692206635675,0.9251846153846154,0.7965363923235153,0.21753799855298375,2.013915538787842
2kmodels (initial),Rectangular,40,95.83312768728821,0.8935641025641026,0.8089366422413977,0.3100108245203681,1.9031085968017578
2kmodels (initial),Rectangular,41,134.46397813143253,0.9213076923076923,0.8167578304433644,0.24912858416648367,1.807070016860962
2kmodels (initial),Rectangular,42,119.45993657573713,0.9237487179487179,0.8153458929133801,0.40979756786049565,2.5005650520324707
2kmodels (initial),Rectangular,43,111.84825382272615,0.8948410256410256,0.7895037909967784,0.3994688251662448,2.0556015968322754
2kmodels (initial),Rectangular,44,116.85434413061901,0.873251282051282,0.7203243050021158,0.5379682671549424,1.8692576885223389
2kmodels (initial),Rectangular,45,72.63887090053528,0.9664615384615385,0.8908798931787972,0.18385549025512826,1.6391851902008057
2kmodels (initial),Rectangular,46,56.92101198828381,0.977574358974359,0.9186726201814227,0.13346993619440703,2.3784968852996826
2kmodels (initial),Rectangular,47,67.46460139433702,0.9436153846153846,0.8148787383811547,0.23982948127330223,2.198732376098633
2kmodels (initial),Rectangular,48,55.834792154114545,0.9419076923076923,0.8157869127656526,0.196812101080125,2.953443765640259
2kmodels (initial),Rectangular,49,66.47038100761006,0.9717384615384616,0.8992397189672254,0.12459728008128718,2.5130221843719482
2kmodels (initial),Voronoi,51,80.28744304873979,0.9662205128205128,0.873176898408847,0.17080544556681862,2.5400729179382324
