algorithm,pattern,dataset_id,ssr,randi,nmi,mae,time
RegionKModels,Rectangular,0,639.1885371637031,0.7387179487179487,0.3183124766208833,0.9908554999790474,0.0628814697265625
RegionKModels,Rectangular,1,343.1782301530935,0.7500820512820513,0.5430817813387399,0.6683331009108995,0.09419941902160645
RegionKModels,Rectangular,2,279.294779236001,0.8461589743589744,0.619275182665878,0.5548618569260718,0.05318903923034668
RegionKModels,Voronoi,50,158.92988172943774,0.7553179487179488,0.45140959038596606,0.7331655475210851,0.03582501411437988
RegionKModels,Voronoi,51,375.5220865131845,0.7465487179487179,0.525069019404636,0.618353273978267,0.03331708908081055
RegionKModels,Voronoi,52,383.61529223029794,0.8173282051282051,0.5645689203860338,0.6764614337148555,0.04723858833312988
RegionKModels,Arbitrary,100,748.8786831481299,0.7341435897435897,0.32072525722338285,0.9860573771870317,0.031554222106933594
RegionKModels,Arbitrary,101,93.10829345117236,0.7853743589743589,0.497637048058714,0.6336111091926543,0.015622138977050781
RegionKModels,Arbitrary,102,171.06476540132127,0.8697435897435898,0.6175911451827973,0.35427121005651413,0.052414655685424805
AZP,Rectangular,0,467.30845832595,0.7874666666666666,0.45888084902193327,0.8097398857876321,1.7897467613220215
AZP,Rectangular,1,128.8111131605679,0.8136564102564102,0.627701318778218,0.4984300087931583,1.522395372390747
AZP,Rectangular,2,318.0547712714151,0.7935794871794872,0.44632757493668057,0.7082075855858595,2.1015985012054443
AZP,Voronoi,50,82.15365939440888,0.8570717948717949,0.6761220505629065,0.36858986890445267,0.8784313201904297
AZP,Voronoi,51,226.98248788272838,0.7812051282051282,0.5602105464805774,0.5409129491361749,1.0838241577148438
AZP,Voronoi,52,245.69862637676422,0.8336769230769231,0.6148325386333372,0.5034557378203808,1.9221763610839844
AZP,Arbitrary,100,175.20482836074768,0.8880205128205129,0.7037983004055549,0.46097829272394686,1.1327075958251953
AZP,Arbitrary,101,71.25126605547287,0.799174358974359,0.4906509534040496,0.5414725009114792,1.2229275703430176
AZP,Arbitrary,102,175.5089754110372,0.8159128205128205,0.5714047151531462,0.4998242400080072,1.1984686851501465
AZP,Rectangular,3,291.9218339934892,0.7944256410256411,0.4948742512721212,0.5844437522423125,1.0627694129943848
AZP,Rectangular,4,78.2431581195342,0.7744564102564102,0.4257324486792934,0.5537045854826365,0.9950077533721924
AZP,Rectangular,5,82.61013941359512,0.8977897435897436,0.7280768309728017,0.3254331976232045,1.5431809425354004
AZP,Rectangular,6,119.97833869038814,0.8250820512820513,0.5382302846275634,0.6439077427900676,0.7988772392272949
AZP,Rectangular,7,360.37608626007705,0.8098358974358975,0.48886770607006796,0.6907689301027198,1.4674890041351318
AZP,Rectangular,8,191.65075373745208,0.8084256410256411,0.468309202059506,0.6892132464736976,1.6032135486602783
AZP,Rectangular,9,252.51851408535748,0.8024358974358974,0.40390971234859624,0.7616304718274267,1.316298246383667
AZP,Rectangular,10,255.24056500255122,0.842425641025641,0.5770090103654463,0.9888881167803504,1.0684900283813477
AZP,Rectangular,11,175.13350042779354,0.7822615384615385,0.43774164377886854,0.8699690930847748,1.374997854232788
AZP,Rectangular,12,221.50465042856436,0.7650051282051282,0.35918408115966743,0.9686268803050517,1.4178247451782227
AZP,Rectangular,13,205.2861311224678,0.8357948717948718,0.585064433229996,0.6240023205052772,1.4038190841674805
AZP,Rectangular,14,295.3939550955553,0.8276871794871795,0.590895871753996,0.5736612216074858,1.519871473312378
AZP,Rectangular,15,249.15095801464093,0.7713846153846153,0.38819372359058285,0.8534239381695116,2.1671433448791504
AZP,Rectangular,16,216.4718599593015,0.7739846153846154,0.4092942163872374,1.08575130921698,2.5850331783294678
AZP,Rectangular,17,435.4251316798628,0.7469948717948718,0.29304258734199234,1.0045275208212934,1.4209938049316406
AZP,Rectangular,18,167.06205881273291,0.8091128205128205,0.5433363552620236,0.8575382041842642,1.118459939956665
AZP,Rectangular,19,301.82498635302494,0.7760974358974359,0.3871515208697743,0.9729959922239144,1.409583330154419
AZP,Rectangular,20,319.8253699641993,0.784774358974359,0.5579905120884352,0.6042519525182681,1.4864342212677002
AZP,Rectangular,21,344.99937471031046,0.7898923076923077,0.4618329029513386,0.7444524299354278,1.330329418182373
AZP,Rectangular,22,494.5984790825614,0.7489333333333333,0.33217461761392275,1.1166604517484398,1.6475236415863037
AZP,Rectangular,23,327.32648884551196,0.8147333333333333,0.5171286304606141,0.7203767337740825,1.5612540245056152
AZP,Rectangular,24,210.79776757122198,0.762974358974359,0.36882890125315726,0.8970866339754908,1.2958471775054932
AZP,Rectangular,25,166.2525466477262,0.8724820512820513,0.7013059086523381,0.42347547849719797,1.9489822387695312
AZP,Rectangular,26,181.83025550406435,0.856051282051282,0.5849794703231742,0.524174329027649,1.9690535068511963
AZP,Rectangular,27,441.3383662013507,0.784148717948718,0.530975004933084,0.7182299045609449,2.0152175426483154
AZP,Rectangular,28,152.91202416629207,0.8822461538461538,0.6864138843787138,0.40992249252127205,2.3567490577697754
AZP,Rectangular,29,212.81623178403908,0.7663025641025641,0.39992653499740605,0.830245991041937,2.2463791370391846
AZP,Rectangular,30,147.53026060630447,0.7493025641025641,0.3174085886881089,0.8656483332002372,1.5357027053833008
AZP,Rectangular,31,354.48414436294786,0.7868564102564103,0.44068781185336425,0.7763226537413997,1.7516114711761475
