Running algorithms: ['AZP', 'RegionKModels', 'SKATER-reg', 'GWR+SKATER', 'SHAP-based']
Resuming from: <path>\simulation_study\results\baseline_per_dataset.csv
Already-completed (algo,dataset) pairs: 18

  Voronoi d=73: time=1.07s ssr=111.64 randi=0.884 nmi=0.685 mae=0.318
  Voronoi d=74: time=0.97s ssr=100.09 randi=0.839 nmi=0.702 mae=0.427
  Voronoi d=75: time=0.93s ssr=143.76 randi=0.883 nmi=0.727 mae=0.394
  Voronoi d=76: time=0.54s ssr=237.59 randi=0.934 nmi=0.818 mae=0.324
  Voronoi d=77: time=2.29s ssr=179.59 randi=0.744 nmi=0.451 mae=0.598
  Voronoi d=78: time=1.33s ssr=295.45 randi=0.767 nmi=0.462 mae=0.780
  Voronoi d=79: time=1.03s ssr=189.27 randi=0.795 nmi=0.570 mae=0.610
  Voronoi d=80: time=1.79s ssr=157.11 randi=0.815 nmi=0.530 mae=0.685
  Voronoi d=81: time=1.11s ssr=190.35 randi=0.838 nmi=0.619 mae=0.514
  Voronoi d=82: time=1.47s ssr=132.82 randi=0.866 nmi=0.655 mae=0.542
  Voronoi d=83: time=1.14s ssr=157.06 randi=0.891 nmi=0.696 mae=0.557
  Voronoi d=84: time=1.98s ssr=122.91 randi=0.780 nmi=0.506 mae=0.555
  Voronoi d=85: time=0.71s ssr=90.69 randi=0.888 nmi=0.755 mae=0.432
  Voronoi d=86: time=0.97s ssr=174.69 randi=0.892 nmi=0.703 mae=0.445
  Voronoi d=87: time=1.29s ssr=141.01 randi=0.833 nmi=0.585 mae=0.535
  Voronoi d=88: time=2.10s ssr=205.20 randi=0.889 nmi=0.714 mae=0.378
  Voronoi d=89: time=1.19s ssr=196.76 randi=0.749 nmi=0.373 mae=0.799
  Voronoi d=90: time=1.54s ssr=140.07 randi=0.757 nmi=0.538 mae=0.540
  Voronoi d=91: time=1.07s ssr=131.40 randi=0.867 nmi=0.661 mae=0.597
  Voronoi d=92: time=1.81s ssr=102.24 randi=0.787 nmi=0.488 mae=0.606
  Voronoi d=93: time=1.56s ssr=214.03 randi=0.697 nmi=0.375 mae=0.657
  Voronoi d=94: time=1.28s ssr=125.37 randi=0.847 nmi=0.678 mae=0.602
  Voronoi d=95: time=0.73s ssr=355.50 randi=0.857 nmi=0.652 mae=0.509
  Voronoi d=96: time=1.33s ssr=143.88 randi=0.790 nmi=0.486 mae=0.658
  Voronoi d=97: time=1.80s ssr=175.90 randi=0.816 nmi=0.590 mae=0.662
  Voronoi d=98: time=1.79s ssr=280.13 randi=0.788 nmi=0.511 mae=0.637
  Voronoi d=99: time=1.88s ssr=201.35 randi=0.806 nmi=0.589 mae=0.457
  Arbitrary d=103: time=2.94s ssr=372.14 randi=0.788 nmi=0.405 mae=0.908
  Arbitrary d=104: time=2.83s ssr=239.77 randi=0.858 nmi=0.656 mae=0.478
  Arbitrary d=105: time=5.05s ssr=261.06 randi=0.784 nmi=0.417 mae=0.857
  Arbitrary d=106: time=3.25s ssr=157.36 randi=0.890 nmi=0.674 mae=0.496
  Arbitrary d=107: time=4.33s ssr=234.87 randi=0.808 nmi=0.460 mae=0.760
  Arbitrary d=108: time=2.21s ssr=214.73 randi=0.836 nmi=0.604 mae=0.423
  Arbitrary d=109: time=2.84s ssr=318.48 randi=0.850 nmi=0.576 mae=0.597
  Arbitrary d=110: time=1.78s ssr=102.58 randi=0.900 nmi=0.726 mae=0.414
  Arbitrary d=111: time=5.19s ssr=268.41 randi=0.920 nmi=0.786 mae=0.354
  Arbitrary d=112: time=2.72s ssr=197.08 randi=0.816 nmi=0.540 mae=0.605
  Arbitrary d=113: time=6.49s ssr=118.59 randi=0.814 nmi=0.542 mae=0.638
  Arbitrary d=114: time=4.05s ssr=161.13 randi=0.838 nmi=0.631 mae=0.460
  Arbitrary d=115: time=2.09s ssr=134.71 randi=0.821 nmi=0.580 mae=0.564
  Arbitrary d=116: time=2.25s ssr=399.24 randi=0.802 nmi=0.498 mae=0.719
  Arbitrary d=117: time=0.97s ssr=294.68 randi=0.894 nmi=0.714 mae=0.462
  Arbitrary d=118: time=2.33s ssr=205.88 randi=0.811 nmi=0.488 mae=0.758
  Arbitrary d=119: time=1.38s ssr=223.94 randi=0.782 nmi=0.437 mae=0.780
  Arbitrary d=120: time=1.01s ssr=184.77 randi=0.821 nmi=0.556 mae=0.610
  Arbitrary d=121: time=2.46s ssr=174.77 randi=0.864 nmi=0.646 mae=0.576
  Arbitrary d=122: time=1.79s ssr=85.69 randi=0.895 nmi=0.730 mae=0.316
  Arbitrary d=123: time=1.23s ssr=73.46 randi=0.861 nmi=0.632 mae=0.378
  Arbitrary d=124: time=2.17s ssr=154.57 randi=0.855 nmi=0.619 mae=0.554
  Arbitrary d=125: time=0.91s ssr=149.45 randi=0.922 nmi=0.761 mae=0.367
  Arbitrary d=126: time=1.38s ssr=209.83 randi=0.792 nmi=0.516 mae=0.887
  Arbitrary d=127: time=1.70s ssr=152.26 randi=0.826 nmi=0.556 mae=0.573
  Arbitrary d=128: time=0.78s ssr=83.90 randi=0.885 nmi=0.726 mae=0.361
  Arbitrary d=129: time=2.00s ssr=238.13 randi=0.927 nmi=0.763 mae=0.281
  Arbitrary d=130: time=1.76s ssr=224.51 randi=0.807 nmi=0.484 mae=0.601
  Arbitrary d=131: time=1.02s ssr=133.60 randi=0.883 nmi=0.685 mae=0.344
  Arbitrary d=132: time=3.71s ssr=220.05 randi=0.843 nmi=0.609 mae=0.418
  Arbitrary d=133: time=1.02s ssr=133.02 randi=0.836 nmi=0.579 mae=0.621
  Arbitrary d=134: time=1.75s ssr=105.23 randi=0.891 nmi=0.716 mae=0.277
  Arbitrary d=135: time=0.89s ssr=332.48 randi=0.861 nmi=0.618 mae=0.563
  Arbitrary d=136: time=1.32s ssr=107.80 randi=0.827 nmi=0.574 mae=0.500
  Arbitrary d=137: time=1.67s ssr=409.34 randi=0.796 nmi=0.492 mae=0.702
  Arbitrary d=138: time=1.35s ssr=146.12 randi=0.894 nmi=0.708 mae=0.421
  Arbitrary d=139: time=0.92s ssr=197.99 randi=0.831 nmi=0.528 mae=0.676
  Arbitrary d=140: time=1.51s ssr=126.43 randi=0.800 nmi=0.468 mae=0.733
  Arbitrary d=141: time=1.58s ssr=151.19 randi=0.789 nmi=0.509 mae=0.637
  Arbitrary d=142: time=2.62s ssr=234.69 randi=0.808 nmi=0.466 mae=0.754
  Arbitrary d=143: time=2.21s ssr=310.87 randi=0.796 nmi=0.487 mae=0.944
  Arbitrary d=144: time=1.17s ssr=119.80 randi=0.847 nmi=0.586 mae=0.529
  Arbitrary d=145: time=1.60s ssr=155.00 randi=0.829 nmi=0.545 mae=0.887
  Arbitrary d=146: time=0.89s ssr=233.54 randi=0.809 nmi=0.522 mae=0.736
  Arbitrary d=147: time=1.65s ssr=206.84 randi=0.814 nmi=0.538 mae=0.704
