Dataset,Algorithm,N_Regions,SSR_Global,SSR_Regime,SSR_Reduction,Avg_R2,Avg_RMSE,Variance_Ratio,Global_R2,Runtime_s
US_Climate_ERA5_CLIMATE,2kmodels (initial),9,8087.16270225318,2589.1333992796144,0.679846505554012,0.8331961126924011,1.2147047512589675,0.4148649729681562,0.756648121356403,38.91147756576538
US_Climate_ERA5_CLIMATE,OpenEvolve_NoGeoKnow,9,8087.16270225318,2777.9465690876978,0.6564992357191319,0.8311032635811646,1.2779990818826148,0.4154802858753483,0.756648121356403,12.535398483276367
US_Climate_ERA5_CLIMATE,OpenEvolve_SimpleGeoKnow,21,8087.16270225318,2664.6009999450644,0.6705147283357271,0.8238983475492682,1.191595396893735,0.4603013669658493,0.756648121356403,38.57460355758667
US_Climate_ERA5_CLIMATE,OpenEvolve_SpecificGeoKnow,9,8087.16270225318,2628.3644004391413,0.6749954839282697,0.809160111428428,1.2018503687755606,0.38596921512099935,0.756648121356403,34.49105453491211
US_Climate_ERA5_CLIMATE,GeoEvolve_NoRAG,9,8087.16270225318,2613.587394687391,0.6768227014946522,0.8491500316798858,1.229281411246134,0.334658009986948,0.756648121356403,40.907161712646484
US_Climate_ERA5_CLIMATE,GeoEvolve_StaticRAG,9,8087.16270225318,2632.3903425358512,0.6744976650707873,0.8492560447257907,1.2370805496502308,0.3442627651066316,0.756648121356403,67.71282911300659
US_Climate_ERA5_CLIMATE,GeoEvolve_DynamicRAG,9,8087.16270225318,2630.0962673513495,0.6747813338022032,0.8106774391143335,1.2439312498796804,0.46620392755706747,0.756648121356403,158.1640179157257
US_Health_ARTHRITIS,2kmodels (initial),8,3583.748049447653,1603.4171485964862,0.5525865305057889,0.8249358213753797,0.899997707366058,0.4243033298349629,0.8089333004266234,40.0158805847168
US_Health_ARTHRITIS,OpenEvolve_NoGeoKnow,8,3583.748049447653,1583.7089400534821,0.5580858592172594,0.8502326226885679,0.8895596739528371,0.5264676258104517,0.8089333004266234,9.045891523361206
US_Health_ARTHRITIS,OpenEvolve_SimpleGeoKnow,13,3583.748049447653,1482.4447162100093,0.586342372355531,0.8564406556465042,0.89224131568896,0.5127281156313408,0.8089333004266234,47.305086612701416
US_Health_ARTHRITIS,OpenEvolve_SpecificGeoKnow,8,3583.748049447653,1650.5013268552452,0.5394482803807512,0.830710621356184,0.9662911971216019,0.4873286941478496,0.8089333004266234,41.74699544906616
US_Health_ARTHRITIS,GeoEvolve_NoRAG,8,3583.748049447653,1647.5674276530235,0.5402669482005144,0.8399908907713908,0.9218235134146675,0.4114491629630341,0.8089333004266234,44.40278172492981
US_Health_ARTHRITIS,GeoEvolve_StaticRAG,8,3583.748049447653,1439.8586965607979,0.5982254676684884,0.8503117393128828,0.8068175715534934,0.6225620139105728,0.8089333004266234,110.22138333320618
US_Health_ARTHRITIS,GeoEvolve_DynamicRAG,8,3583.748049447653,1602.340263616785,0.5528870217693606,0.8286175639310809,0.9058815678646093,0.4834322916464468,0.8089333004266234,178.8566746711731
US_Health_BPHIGH,2kmodels (initial),8,6367.090816541339,2813.4610554970895,0.5581245600914191,0.8233230949804258,1.1599618735776702,0.6460169839898452,0.8564746923927078,37.84168338775635
US_Health_BPHIGH,OpenEvolve_NoGeoKnow,8,6367.090816541339,2849.0593035899115,0.5525335846964492,0.8045980822498662,1.2287266470221447,0.6110037040571006,0.8564746923927078,8.293474435806274
US_Health_BPHIGH,OpenEvolve_SimpleGeoKnow,11,6367.090816541339,2744.5785862903635,0.5689430753586702,0.8073340841548969,1.0670523590793215,0.5201673343061691,0.8564746923927078,42.01963710784912
US_Health_BPHIGH,OpenEvolve_SpecificGeoKnow,8,6367.090816541339,2709.0358663013394,0.574525329642948,0.8150566705182011,1.1258644423462907,0.5975233539705271,0.8564746923927078,36.871479749679565
US_Health_BPHIGH,GeoEvolve_NoRAG,8,6367.090816541339,2831.1602674607675,0.555344764345818,0.7838177061639515,1.1661111146082375,0.5908682620110302,0.8564746923927078,44.5648717880249
US_Health_BPHIGH,GeoEvolve_StaticRAG,8,6367.090816541339,2510.956123622973,0.6056352585548722,0.8126857607996543,1.0973486559084926,0.7323861599488166,0.8564746923927078,113.79350328445435
US_Health_BPHIGH,GeoEvolve_DynamicRAG,8,6367.090816541339,2777.945146386913,0.5637026035234224,0.7947165063030889,1.1695860293294993,0.5612511033990067,0.8564746923927078,184.18045115470886
US_Health_CANCER,2kmodels (initial),8,244.87505698299657,89.70868675961415,0.6336552694877238,0.7110629318154038,0.22721846170879548,0.5052769976658757,0.633046753492148,36.48173379898071
