Dataset,Algorithm,N_Regions,SSR_Global,SSR_Regime,SSR_Reduction,Avg_R2,Avg_RMSE,Variance_Ratio,Global_R2,Runtime_s
US_Climate_ERA5_CLIMATE,AZP,9,8087.162702253181,3783.755867937489,0.5321281384776284,0.8381520847109898,1.1162287486479328,0.4445346495213287,0.756648121356403,7.4751877784729
US_Climate_ERA5_CLIMATE,RegionKModels,9,8087.162702253181,4221.688739803741,0.47797652956487113,0.8171101222086826,1.2138993620092302,0.4290420425832617,0.756648121356403,0.14556407928466797
US_Climate_ERA5_CLIMATE,GWR+SKATER,9,8087.162702253181,4733.341567332438,0.41470924456439195,0.8113244857164486,1.2465881047183276,0.3910962283318697,0.756648121356403,64.20613312721252
US_Climate_ERA5_CLIMATE,SKATER-reg,9,8087.162702253181,2984.761100338248,0.6309260478329863,0.817589627714992,1.3733591201727318,0.37245100744492565,0.756648121356403,196.3640398979187
US_Climate_ERA5_CLIMATE,SHAP-based,9,8087.162702253181,2551.6885454518533,0.6844766651299198,0.7645365701835642,1.204652143103134,0.5167941468270024,0.756648121356403,33.252394676208496
US_Climate_ERA5_CLIMATE,GeoEvolve,9,8087.162702253181,2632.0535715445794,0.6745393077338165,0.8069882738943147,1.3229608460773352,0.4273834364853433,0.756648121356403,69.45815110206604
US_Health_ARTHRITIS,AZP,8,3583.748049447654,1823.83230252261,0.4910824429179087,0.8315542052863196,0.8738325490816929,0.3785492059628724,0.8089333004266233,21.62463688850403
US_Health_ARTHRITIS,RegionKModels,8,3583.748049447654,2174.2642017541125,0.3932988112573311,0.8014503766297421,0.9758611484855519,0.35822674582180397,0.8089333004266233,0.15192055702209473
US_Health_ARTHRITIS,GWR+SKATER,8,3583.748049447654,2038.5299974634895,0.4311737406379116,0.8208662103972936,0.903197987390626,0.6145344707459898,0.8089333004266233,61.237903356552124
US_Health_ARTHRITIS,SKATER-reg,8,3583.748049447654,1693.8907232177025,0.5273410128597702,0.8125256127670779,0.9378292325629364,0.49946383703192354,0.8089333004266233,131.74814558029175
US_Health_ARTHRITIS,SHAP-based,8,3583.748049447654,1555.467793797663,0.5659661973063648,0.8123933234361121,0.9187346335335553,0.573014380356757,0.8089333004266233,40.2108633518219
US_Health_ARTHRITIS,GeoEvolve,8,3583.748049447654,1462.2227758729077,0.5919850514886857,0.8491312598176666,0.8171509093377906,0.5866317013985243,0.8089333004266233,88.58018732070923
US_Health_BPHIGH,AZP,8,6367.090816541338,2774.4173083186943,0.5642566773021493,0.8599040825576574,1.1057997862099178,0.4538812589068026,0.8564746923927078,20.83211588859558
US_Health_BPHIGH,RegionKModels,8,6367.090816541338,3313.804934521782,0.479541751483628,0.831866373182646,1.2384594442594032,0.45473628472414707,0.8564746923927078,0.3291041851043701
US_Health_BPHIGH,GWR+SKATER,8,6367.090816541338,3616.2282016843255,0.43204387908374553,0.7634784308202163,1.183783938863958,0.4680561952164294,0.8564746923927078,50.717437744140625
US_Health_BPHIGH,SKATER-reg,8,6367.090816541338,2785.937049597678,0.5624474143890059,0.7604220246043271,1.1598171107073922,0.7401393111699788,0.8564746923927078,127.88924932479858
US_Health_BPHIGH,SHAP-based,8,6367.090816541338,2701.8925274071007,0.5756472453027153,0.7767970632377489,1.1623489849193103,0.5567992346698901,0.8564746923927078,35.33300471305847
US_Health_BPHIGH,GeoEvolve,8,6367.090816541338,2509.344285990584,0.6058884099043396,0.8060017400750799,1.099530737501546,0.7178375791588057,0.8564746923927078,89.25223588943481
US_Health_CANCER,AZP,8,244.87505698299654,95.19181750624263,0.611263724941767,0.7347160037889535,0.207105355132427,0.3417200730786982,0.633046753492148,22.827093839645386
US_Health_CANCER,RegionKModels,8,244.87505698299654,122.3301982519442,0.5004383061340605,0.6884376425215804,0.23891359510531,0.29475881972024665,0.633046753492148,0.13730692863464355
US_Health_CANCER,GWR+SKATER,8,244.87505698299654,127.19732597183445,0.4805623425310047,0.7345469159278435,0.24323277101851842,0.464960877232501,0.633046753492148,30.95604395866394
US_Health_CANCER,SKATER-reg,8,244.87505698299654,95.07220652507712,0.6117521821273995,0.7621398707448139,0.23546486366814118,0.2786685160920166,0.633046753492148,149.59900760650635
US_Health_CANCER,SHAP-based,8,244.87505698299654,92.41914454062363,0.6225865317632535,0.7169462960675144,0.22602579120159708,0.46752902502944577,0.633046753492148,36.76268696784973
US_Health_CANCER,GeoEvolve,8,244.87505698299654,85.67062264237481,0.6501455734288055,0.7060258026072104,0.22415955953222644,0.44768656458654477,0.633046753492148,142.0121626853943
US_Health_CASTHMA,AZP,8,783.0335056801771,330.2309742222453,0.5782671216151953,0.7834506281072174,0.3571231613803004,0.30890916487457426,0.5882474357805282,22.027808904647827
US_Health_CASTHMA,RegionKModels,8,783.0335056801771,397.9629402865355,0.49176767354182693,0.733193496088282,0.4062904287656171,0.28598892956765504,0.5882474357805282,0.7702310085296631
US_Health_CASTHMA,GWR+SKATER,8,783.0335056801771,322.07551511508643,0.5886823325199634,0.776280754929394,0.405793959633805,0.3333273541240741,0.5882474357805282,62.9018919467926
US_Health_CASTHMA,SKATER-reg,8,783.0335056801771,253.66440312150402,0.6760491073735599,0.7948990585034728,0.37265660729151473,0.3447044930918532,0.5882474357805282,150.63991022109985
US_Health_CASTHMA,SHAP-based,8,783.0335056801771,239.6559591369757,0.6939390748946304,0.7846612185641718,0.3590222040136626,0.3941268546060321,0.5882474357805282,34.343462228775024
US_Health_CASTHMA,GeoEvolve,8,783.0335056801771,239.31617358709912,0.6943730097740599,0.8158940835514762,0.35690811102809816,0.26947103477613915,0.5882474357805282,77.73225927352905
US_Health_DEPRESSION,AZP,8,13827.565082661458,3876.063926664661,0.7196857217092472,0.7665463799401588,1.315012144772941,0.2804653734879981,0.4468869344492842,26.343433141708374
US_Health_DEPRESSION,RegionKModels,8,13827.565082661458,5990.220624904004,0.566791362825317,0.6723598695005513,1.6198165282855783,0.1669732580300204,0.4468869344492842,0.3811001777648926
US_Health_DEPRESSION,GWR+SKATER,8,13827.565082661458,5523.919304940776,0.60051395369187,0.7014747236370182,1.6337149484462987,0.15773232635993423,0.4468869344492842,55.0929536819458
US_Health_DEPRESSION,SKATER-reg,8,13827.565082661458,3798.4073391646016,0.7253017927265106,0.7378921046127657,1.3849644296582326,0.34551054364644684,0.4468869344492842,133.38900327682495
US_Health_DEPRESSION,SHAP-based,8,13827.565082661458,3270.5571165865613,0.7634755579138405,0.6608360802413474,1.2992780447550558,0.6133678874937833,0.4468869344492842,32.73238229751587
US_Health_DEPRESSION,GeoEvolve,8,13827.565082661458,3194.4069811678346,0.7689826833523035,0.6663752894104726,1.2468119180613173,0.48761085604971927,0.4468869344492842,74.21639251708984
